namespace,action,decision,scope
microsoft.directory,microsoft.directory/crossTenantAccessPolicy/default/standard/read,notAllowed,/
microsoft.directory,microsoft.directory/crossTenantAccessPolicy/default/tenantRestrictions/update,notAllowed,/
microsoft.directory,microsoft.directory/crossTenantAccessPolicy/partners/b2bCollaboration/update,notAllowed,/
microsoft.directory,microsoft.directory/crossTenantAccessPolicy/partners/b2bDirectConnect/update,notAllowed,/
microsoft.directory,microsoft.directory/crossTenantAccessPolicy/partners/create,notAllowed,/
microsoft.directory,microsoft.directory/crossTenantAccessPolicy/partners/crossCloudMeetings/update,notAllowed,/
microsoft.directory,microsoft.directory/crossTenantAccessPolicy/partners/delete,notAllowed,/
microsoft.directory,microsoft.directory/crossTenantAccessPolicy/partners/identitySynchronization/basic/update,notAllowed,/
microsoft.directory,microsoft.directory/crossTenantAccessPolicy/partners/identitySynchronization/create,notAllowed,/
microsoft.directory,microsoft.directory/crossTenantAccessPolicy/partners/identitySynchronization/standard/read,notAllowed,/
microsoft.directory,microsoft.directory/crossTenantAccessPolicy/partners/standard/read,notAllowed,/
microsoft.directory,microsoft.directory/crossTenantAccessPolicy/partners/templates/multiTenantOrganizationIdentitySynchronization/basic/update,notAllowed,/
microsoft.directory,microsoft.directory/crossTenantAccessPolicy/partners/templates/multiTenantOrganizationIdentitySynchronization/resetToDefaultSettings,notAllowed,/
microsoft.directory,microsoft.directory/crossTenantAccessPolicy/partners/templates/multiTenantOrganizationIdentitySynchronization/standard/read,notAllowed,/
microsoft.directory,microsoft.directory/crossTenantAccessPolicy/partners/templates/multiTenantOrganizationPartnerConfiguration/basic/update,notAllowed,/
microsoft.directory,microsoft.directory/crossTenantAccessPolicy/partners/templates/multiTenantOrganizationPartnerConfiguration/resetToDefaultSettings,notAllowed,/
microsoft.directory,microsoft.directory/crossTenantAccessPolicy/partners/templates/multiTenantOrganizationPartnerConfiguration/standard/read,notAllowed,/
microsoft.directory,microsoft.directory/crossTenantAccessPolicy/partners/tenantRestrictions/update,notAllowed,/
microsoft.directory,microsoft.directory/crossTenantAccessPolicy/standard/read,notAllowed,/
microsoft.directory,microsoft.directory/customAuthenticationExtensions/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/customAuthenticationExtensions/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/customSecurityAttributeAuditLogs/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/customSecurityAttributeDefinitions/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/customSecurityAttributeDefinitions/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/deletedItems.applications/delete,conditional,/
microsoft.directory,microsoft.directory/deletedItems.applications/restore,conditional,/
microsoft.directory,microsoft.directory/deletedItems.devices/delete,notAllowed,/
microsoft.directory,microsoft.directory/deletedItems.devices/restore,notAllowed,/
microsoft.directory,microsoft.directory/deletedItems.groups/delete,notAllowed,/
microsoft.directory,microsoft.directory/deletedItems.groups/restore,conditional,/
microsoft.directory,microsoft.directory/deletedItems.users/restore,notAllowed,/
microsoft.directory,microsoft.directory/deletedItems/delete,notAllowed,/
microsoft.directory,microsoft.directory/deletedItems/restore,notAllowed,/
microsoft.directory,microsoft.directory/deviceLocalCredentials/password/read,notAllowed,/
microsoft.directory,microsoft.directory/deviceLocalCredentials/standard/read,notAllowed,/
microsoft.directory,microsoft.directory/deviceManagementPolicies/basic/update,notAllowed,/
microsoft.directory,microsoft.directory/deviceManagementPolicies/standard/read,notAllowed,/
microsoft.directory,microsoft.directory/deviceRegistrationPolicy/basic/update,notAllowed,/
microsoft.directory,microsoft.directory/deviceRegistrationPolicy/standard/read,notAllowed,/
microsoft.directory,microsoft.directory/devices/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/devices/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/devices/basic/update,notAllowed,/
microsoft.directory,microsoft.directory/devices/createdFrom/read,notAllowed,/
microsoft.directory,microsoft.directory/devices/create,notAllowed,/
microsoft.directory,microsoft.directory/devices/customSecurityAttributes/read,notAllowed,/
microsoft.directory,microsoft.directory/devices/customSecurityAttributes/update,notAllowed,/
microsoft.directory,microsoft.directory/devices/delete,notAllowed,/
